FIPS,COUNTY,STATE,var,Intermix1990,Intermix2000,Intermix2010,Interface1990,Interface2000,Interface2010,TotalWUI1990,TotalWUI2000,TotalWUI2010,NonWUI1990,NonWUI2000,NonWUI2010
1001,Autauga County,Alabama,area_km,151.8,272.8,380,37.3,49,74.4,189.1,321.8,454.4,1376.2,1243.5,1111
1003,Baldwin County,Alabama,area_km,596.5,744.9,833.1,195.6,304.2,336.1,792,1049.2,1169.1,4458.7,4201.6,4081.6
1005,Barbour County,Alabama,area_km,132.4,157.5,183.4,37.2,51.2,42.2,169.6,208.7,225.5,2173.1,2133.9,2117.2
1007,Bibb County,Alabama,area_km,130.5,232.2,266.6,22.1,23.1,24.7,152.6,255.4,291.3,1469.1,1366.4,1330.4
1009,Blount County,Alabama,area_km,410.4,551.9,637.7,158.8,202.6,202.4,569.2,754.4,840.1,1115.9,930.7,845
1011,Bullock County,Alabama,area_km,67,92.9,92,8.1,14,6.8,75.1,106.9,98.8,1544.1,1512.2,1520.4
1013,Butler County,Alabama,area_km,186.3,230.5,215.8,24.4,35.7,29.2,210.7,266.2,245,1804,1748.5,1769.7
1015,Calhoun County,Alabama,area_km,447.3,553.7,610,207.3,235.1,243.8,654.6,788.8,853.8,931.2,797,732
1017,Chambers County,Alabama,area_km,185,212.3,239.6,49.9,57.1,57.6,234.9,269.4,297.2,1327.2,1292.6,1264.9
1019,Cherokee County,Alabama,area_km,157.2,261.3,281.1,87.2,109.4,112.9,244.4,370.6,394,1309.6,1183.3,1159.9
1021,Chilton County,Alabama,area_km,394.1,541.7,598,86,96.3,101.3,480.1,638,699.3,1335,1177.1,1115.7
1023,Choctaw County,Alabama,area_km,163.3,196.6,179.5,7.4,10.7,11.2,170.8,207.3,190.7,2214.2,2177.7,2194.3
1025,Clarke County,Alabama,area_km,196.2,306.1,333.5,13.2,13.5,15,209.4,319.6,348.5,3034.8,2924.5,2895.7
1027,Clay County,Alabama,area_km,125.9,202.1,213.5,22.8,23.3,24.6,148.7,225.3,238.1,1420.8,1344.2,1331.4
1029,Cleburne County,Alabama,area_km,147.1,176.2,227.8,26.6,31.1,32.4,173.7,207.3,260.2,1279.3,1245.7,1192.8
1031,Coffee County,Alabama,area_km,235.8,268.4,332.5,58.6,83.8,79,294.4,352.1,411.4,1468.1,1410.3,1351
1033,Colbert County,Alabama,area_km,180.1,258.9,254.6,78,90.8,87.4,258.1,349.7,342,1353.2,1261.6,1269.3
1035,Conecuh County,Alabama,area_km,107.8,155.4,139.4,14.5,15.2,17.1,122.3,170.6,156.5,2086.2,2038,2052.1
1037,Coosa County,Alabama,area_km,159.7,216,213,9.6,10.1,10.2,169.4,226.1,223.2,1556.5,1499.8,1502.7
1039,Covington County,Alabama,area_km,248.8,364.3,375.4,80.8,99.7,95.5,329.6,464,470.9,2373.8,2239.4,2232.5
1041,Crenshaw County,Alabama,area_km,104.1,146.5,171.8,18.4,24.7,17,122.5,171.2,188.8,1459.8,1411,1393.5
