fips,wuiClass,year,nh,pv,bp
6001,3,1975,92,48293e3,0.011590999551117
6001,3,1985,94,51503e3,0.011590999551117
6001,3,1995,94,51503e3,0.011590999551117
6001,3,2005,96,53986e3,0.011590999551117
6001,3,2015,99,56961e3,0.011590999551117
6001,3,2019,99,56961e3,0.011590999551117
6003,1,1975,5,1699500,0.014976000413299
6003,1,1985,5,1699500,0.014976000413299
6003,1,1995,5,1699500,0.014976000413299
6003,1,2005,5,1699500,0.014976000413299
6003,1,2015,5,1699500,0.014976000413299
6003,1,2019,5,1699500,0.014976000413299
6007,3,1975,153,18104500,0.016123999841511
6007,3,1985,155,18321500,0.016123999841511
6007,3,1995,155,18321500,0.016123999841511
6007,3,2005,155,18321500,0.016123999841511
6007,3,2015,155,18321500,0.016123999841511
6007,3,2019,155,18321500,0.016123999841511
6007,4,1975,101,5172100,0.019068999215961
6007,4,1985,101,5172100,0.019068999215961
6007,4,1995,101,5172100,0.019068999215961
6007,4,2005,101,5172100,0.019068999215961
6007,4,2015,101,5172100,0.019068999215961
6007,4,2019,101,5172100,0.019068999215961
6007,5,1975,1823,275744e3,0.016144500114023835
6007,5,1985,1616,288397e3,0.0158390000462534
6007,5,1995,1293,265195e3,0.0172757501713935
6007,5,2005,1364,294731e3,0.0172757501713935
6007,5,2015,1396,306839e3,0.0172757501713935
6007,5,2019,1398,307429e3,0.0172757501713935
6007,6,1975,1056,239725e3,0.0170785002410415
6007,6,1985,1833,359241e3,0.017276333644986333
6007,6,1995,2555,504991e3,0.015480250120163
6007,6,2005,2742,562413e3,0.015480250120163
6007,6,2015,2886,597769e3,0.015480250120163
6007,6,2019,2894,599769e3,0.015480250120163
6009,5,1975,669,451279e3,0.013019999799629
6009,5,1985,797,59086e4,0.013019999799629
6009,5,1995,891,77227e4,0.013019999799629
6009,5,2005,938,84843e4,0.013019999799629
6009,5,2015,982,92943e4,0.013019999799629
6009,5,2019,982,92943e4,0.013019999799629
6009,6,1975,2126,109693e4,0.011790500022471
6009,6,1985,2511,122499e4,0.011790500022471
6009,6,1995,3137,156177e4,0.011790500022471
6009,6,2005,3763,193259e4,0.011790500022471
6009,6,2015,4343,230672e4,0.011790500022471
6009,6,2019,4344,230742e4,0.011790500022471
6011,1,1975,17,3527100,0.010790999978781
6011,1,1985,17,3527100,0.010790999978781
6011,1,1995,17,3527100,0.010790999978781
6011,1,2005,18,3833200,0.010790999978781
6011,1,2015,18,3833200,0.010790999978781
6011,1,2019,18,3833200,0.010790999978781
6011,3,1975,220,670757e3,0.012685666792095
6011,3,1985,220,670757e3,0.012685666792095
6011,3,1995,220,670757e3,0.012685666792095
6011,3,2005,222,685377e3,0.012685666792095
6011,3,2015,224,685478e3,0.012685666792095
6011,3,2019,224,685478e3,0.012685666792095
6011,6,1975,929,1243e5,0.014887999743223
6011,6,1985,968,12898e4,0.014887999743223
6011,6,1995,991,13345e4,0.014887999743223
6011,6,2005,1001,13532e4,0.014887999743223
6011,6,2015,1003,13558e4,0.014887999743223
6011,6,2019,1003,13558e4,0.014887999743223
6013,6,1975,1685,2463e6,0.013888999819756
6013,6,1985,1892,28639e5,0.013888999819756
6013,6,1995,2094,32881e5,0.013888999819756
6013,6,2005,2463,38824e5,0.013888999819756
6013,6,2015,2531,4109e6,0.013888999819756
