fips,year,wuiClass,variable,value
6001,1975,1,num houses,0
6001,1975,2,num houses,0
6001,1975,3,num houses,92
6001,1975,4,num houses,625
6001,1975,5,num houses,885
6001,1975,6,num houses,2430
6001,1975,7,num houses,317118
6001,1975,total,num houses,321150
6001,1985,1,num houses,0
6001,1985,2,num houses,0
6001,1985,3,num houses,94
6001,1985,4,num houses,466
6001,1985,5,num houses,205
6001,1985,6,num houses,3841
6001,1985,7,num houses,354605
6001,1985,total,num houses,359211
6001,1995,1,num houses,0
6001,1995,2,num houses,0
6001,1995,3,num houses,94
6001,1995,4,num houses,277
6001,1995,5,num houses,422
6001,1995,6,num houses,4670
6001,1995,7,num houses,405338
6001,1995,total,num houses,410801
6001,2005,1,num houses,0
6001,2005,2,num houses,0
6001,2005,3,num houses,96
6001,2005,4,num houses,282
6001,2005,5,num houses,443
6001,2005,6,num houses,3386
6001,2005,7,num houses,444191
6001,2005,total,num houses,448398
6001,2015,1,num houses,0
6001,2015,2,num houses,0
6001,2015,3,num houses,99
6001,2015,4,num houses,285
6001,2015,5,num houses,449
6001,2015,6,num houses,1569
6001,2015,7,num houses,469188
6001,2015,total,num houses,471590
6001,2019,1,num houses,0
6001,2019,2,num houses,0
6001,2019,3,num houses,99
6001,2019,4,num houses,285
6001,2019,5,num houses,450
6001,2019,6,num houses,1575
6001,2019,7,num houses,472488
6001,2019,total,num houses,474897
6003,1975,1,num houses,69
6003,1975,2,num houses,80
6003,1975,3,num houses,58
6003,1975,4,num houses,179
6003,1975,5,num houses,234
6003,1975,6,num houses,685
6003,1975,7,num houses,0
6003,1975,total,num houses,1305
6003,1985,1,num houses,70
6003,1985,2,num houses,86
6003,1985,3,num houses,64
6003,1985,4,num houses,0
6003,1985,5,num houses,500
6003,1985,6,num houses,769
6003,1985,7,num houses,0
6003,1985,total,num houses,1489
6003,1995,1,num houses,71
6003,1995,2,num houses,41
6003,1995,3,num houses,117
6003,1995,4,num houses,0
6003,1995,5,num houses,551
6003,1995,6,num houses,801
6003,1995,7,num houses,0
6003,1995,total,num houses,1581
6003,2005,1,num houses,75
6003,2005,2,num houses,44
6003,2005,3,num houses,124
6003,2005,4,num houses,0
6003,2005,5,num houses,648
6003,2005,6,num houses,832
6003,2005,7,num houses,0
6003,2005,total,num houses,1723
6003,2015,1,num houses,78
6003,2015,2,num houses,44
6003,2015,3,num houses,131
6003,2015,4,num houses,0
6003,2015,5,num houses,679
6003,2015,6,num houses,870
6003,2015,7,num houses,0
6003,2015,total,num houses,1802
6003,2019,1,num houses,78
6003,2019,2,num houses,44
6003,2019,3,num houses,131
6003,2019,4,num houses,0
6003,2019,5,num houses,680
6003,2019,6,num houses,870
6003,2019,7,num houses,0
6003,2019,total,num houses,1803
6005,1975,1,num houses,0
6005,1975,2,num houses,26
6005,1975,3,num houses,240
6005,1975,4,num houses,149
6005,1975,5,num houses,217
6005,1975,6,num houses,15096
6005,1975,7,num houses,0
6005,1975,total,num houses,15728
6005,1985,1,num houses,0
6005,1985,2,num houses,26
6005,1985,3,num houses,243
6005,1985,4,num houses,150
6005,1985,5,num houses,252
6005,1985,6,num houses,14723
6005,1985,7,num houses,3142
6005,1985,total,num houses,18536
6005,1995,1,num houses,0
6005,1995,2,num houses,26
6005,1995,3,num houses,244
6005,1995,4,num houses,152
6005,1995,5,num houses,278
6005,1995,6,num houses,16918
6005,1995,7,num houses,3714
6005,1995,total,num houses,21332
6005,2005,1,num houses,0
6005,2005,2,num houses,26
6005,2005,3,num houses,148
6005,2005,4,num houses,252
6005,2005,5,num houses,320
6005,2005,6,num houses,19321
6005,2005,7,num houses,4099
6005,2005,total,num houses,24166
6005,2015,1,num houses,0
6005,2015,2,num houses,26
6005,2015,3,num houses,149
6005,2015,4,num houses,252
6005,2015,5,num houses,330
6005,2015,6,num houses,20453
6005,2015,7,num houses,4263
6005,2015,total,num houses,25473
6005,2019,1,num houses,0
6005,2019,2,num houses,26
6005,2019,3,num houses,149
6005,2019,4,num houses,253
6005,2019,5,num houses,330
6005,2019,6,num houses,20514
6005,2019,7,num houses,4268
6005,2019,total,num houses,25540
6007,1975,1,num houses,0
6007,1975,2,num houses,0
6007,1975,3,num houses,314
6007,1975,4,num houses,921
6007,1975,5,num houses,3608
6007,1975,6,num houses,21499
6007,1975,7,num houses,30845
6007,1975,total,num houses,57187
6007,1985,1,num houses,0
6007,1985,2,num houses,0
6007,1985,3,num houses,218
6007,1985,4,num houses,1070
6007,1985,5,num houses,3624
6007,1985,6,num houses,19871
6007,1985,7,num houses,47822
6007,1985,total,num houses,72605
6007,1995,1,num houses,0
6007,1995,2,num houses,0
6007,1995,3,num houses,218
6007,1995,4,num houses,694
6007,1995,5,num houses,3433
6007,1995,6,num houses,20307
6007,1995,7,num houses,59869
6007,1995,total,num houses,84521
6007,2005,1,num houses,0
6007,2005,2,num houses,0
6007,2005,3,num houses,218
6007,2005,4,num houses,700
6007,2005,5,num houses,3684
6007,2005,6,num houses,18664
6007,2005,7,num houses,70189
6007,2005,total,num houses,93455
6007,2015,1,num houses,0
6007,2015,2,num houses,0
6007,2015,3,num houses,218
6007,2015,4,num houses,704
6007,2015,5,num houses,3301
6007,2015,6,num houses,20093
6007,2015,7,num houses,74562
6007,2015,total,num houses,98878
6007,2019,1,num houses,0
6007,2019,2,num houses,0
6007,2019,3,num houses,218
6007,2019,4,num houses,705
6007,2019,5,num houses,3307
6007,2019,6,num houses,20118
6007,2019,7,num houses,74907
6007,2019,total,num houses,99255
6009,1975,1,num houses,0
6009,1975,2,num houses,0
6009,1975,3,num houses,81
6009,1975,4,num houses,282
6009,1975,5,num houses,2617
6009,1975,6,num houses,19737
6009,1975,7,num houses,5152
6009,1975,total,num houses,27869
6009,1985,1,num houses,0
6009,1985,2,num houses,0
6009,1985,3,num houses,82
6009,1985,4,num houses,299
6009,1985,5,num houses,2415
6009,1985,6,num houses,24260
6009,1985,7,num houses,6597
6009,1985,total,num houses,33653
6009,1995,1,num houses,0
6009,1995,2,num houses,0
6009,1995,3,num houses,83
6009,1995,4,num houses,308
6009,1995,5,num houses,2141
6009,1995,6,num houses,25268
6009,1995,7,num houses,12018
6009,1995,total,num houses,39818
6009,2005,1,num houses,0
6009,2005,2,num houses,0
6009,2005,3,num houses,83
6009,2005,4,num houses,314
6009,2005,5,num houses,2241
6009,2005,6,num houses,24726
6009,2005,7,num houses,16676
6009,2005,total,num houses,44040
6009,2015,1,num houses,0
6009,2015,2,num houses,0
6009,2015,3,num houses,83
6009,2015,4,num houses,319
6009,2015,5,num houses,1819
6009,2015,6,num houses,26694
6009,2015,7,num houses,17700
6009,2015,total,num houses,46615
6009,2019,1,num houses,0
6009,2019,2,num houses,0
6009,2019,3,num houses,83
6009,2019,4,num houses,319
6009,2019,5,num houses,1819
6009,2019,6,num houses,26698
6009,2019,7,num houses,17700
6009,2019,total,num houses,46619
6011,1975,1,num houses,17
6011,1975,2,num houses,40
6011,1975,3,num houses,509
6011,1975,4,num houses,854
6011,1975,5,num houses,2409
6011,1975,6,num houses,8309
6011,1975,7,num houses,0
6011,1975,total,num houses,12138
6011,1985,1,num houses,17
6011,1985,2,num houses,40
6011,1985,3,num houses,512
6011,1985,4,num houses,866
6011,1985,5,num houses,2459
6011,1985,6,num houses,9080
6011,1985,7,num houses,0
6011,1985,total,num houses,12974
6011,1995,1,num houses,17
6011,1995,2,num houses,43
6011,1995,3,num houses,519
6011,1995,4,num houses,876
6011,1995,5,num houses,2535
6011,1995,6,num houses,9714
6011,1995,7,num houses,0
6011,1995,total,num houses,13704
6011,2005,1,num houses,18
6011,2005,2,num houses,47
6011,2005,3,num houses,533
6011,2005,4,num houses,899
6011,2005,5,num houses,2659
6011,2005,6,num houses,10324
6011,2005,7,num houses,0
6011,2005,total,num houses,14480
6011,2015,1,num houses,18
6011,2015,2,num houses,0
6011,2015,3,num houses,589
6011,2015,4,num houses,909
6011,2015,5,num houses,2799
6011,2015,6,num houses,10826
6011,2015,7,num houses,0
6011,2015,total,num houses,15141
6011,2019,1,num houses,18
